i,loss,time
10075,0.6270141363143921,177.11321234703064
10100,0.7814669275283813,177.52544617652893
10125,0.7012902665138244,177.9614200592041
10150,0.704841878414154,178.37556385993958
10175,0.6619862079620361,178.79530262947083
10200,0.5905431628227233,179.19764375686646
10225,0.8087888813018799,179.6343379020691
10250,0.6999084806442261,180.0472536087036
10275,0.6980878210067749,180.46703243255615
10300,0.6281818842887879,180.88086676597595
10325,0.6295245742797851,181.30841183662415
10350,0.8093193340301513,181.7115499973297
10375,0.7733733677864074,182.11607813835144
10400,0.735303168296814,182.513854265213
10425,0.8087542295455933,182.9480836391449
10450,0.7391451406478882,183.36775946617126
10475,0.5899978137016296,183.8095042705536
10500,0.7345892548561096,184.23490619659424
10525,0.6986057114601135,184.6689009666443
10550,0.7722471499443054,185.0862786769867
10575,0.7017797923088074,185.50137948989868
10600,0.7712306618690491,185.91712880134583
10625,0.6994131302833557,186.3493299484253
10650,0.7706288433074951,186.74390268325806
10675,0.6248239946365356,187.15528392791748
10700,0.7008547067642212,187.5577335357666
10725,0.5881262922286987,187.97865295410156
10750,0.6636098933219909,188.387553691864
10775,0.8088624739646911,188.80128502845764
10800,0.6244024229049683,189.2202033996582
10825,0.6612563300132751,189.65552592277527
10850,0.6295552039146424,190.05754351615906
10875,0.6254526281356811,190.4761312007904
10900,0.7001935863494873,190.9026484489441
10925,0.6651789379119873,191.34155130386353
10950,0.736623899936676,191.7441122531891
10975,0.5518583917617798,192.15464615821838
11000,0.7733760476112366,192.56345009803772
11025,0.8110985946655274,192.98970198631287
11050,0.8519088697433471,193.39148569107056
11075,0.8108122730255127,193.80572700500488
11100,0.8897797775268554,194.20595955848694
11125,0.7002338886260986,194.63286137580872
11150,0.5905810284614563,195.03543615341187
11175,0.7412120199203491,195.44862294197083
11200,0.7010771989822387,195.89742350578308
11225,0.7366870355606079,196.33324766159058
11250,0.773018536567688,196.75387954711914
11275,0.7338482236862183,197.17038798332214
11300,0.6977671265602112,197.5837526321411
11325,0.770724105834961,198.0219807624817
11350,0.661528959274292,198.4330394268036
11375,0.6987610697746277,198.8616361618042
11400,0.6627576208114624,199.2614507675171
11425,0.624482958316803,199.7785768508911
11450,0.7728315544128418,200.17570805549622
11475,0.6969925665855408,200.58076739311218
11500,0.7705186438560486,200.99281692504883
11525,0.66224280834198,201.44035267829895
11550,0.6986348176002503,201.8532910346985
11575,0.8140386247634888,202.2900321483612
11600,0.7044984412193298,202.7193636894226
11625,0.7010656952857971,203.14375162124634
11650,0.6992056751251221,203.55289268493652
11675,0.7385833573341369,203.95186352729797
11700,0.7016540431976318,204.36358785629272
11725,0.6619542527198792,204.81384825706482
11750,0.6972400522232056,205.2069227695465
11775,0.6978421950340271,205.61463904380798
11800,0.6246764683723449,206.03156518936157
11825,0.6613372135162353,206.50735878944397
11850,0.6248538422584534,206.90481567382812
11875,0.8105711150169372,207.3183629512787
11900,0.812295048236847,207.74286723136902
11925,0.6263776731491089,208.186101436615
11950,0.700932674407959,208.61004424095154
11975,0.6245965552330017,209.02189874649048
12000,0.5880750918388367,209.43634223937988
12025,0.8904703068733215,209.91126942634583
12050,0.7703807854652405,210.30209493637085
12075,0.8420748805999756,210.70692420005798
12100,0.6976993441581726,211.1032259464264
12125,0.7370150709152221,211.52906274795532
12150,0.7727527785301208,211.9305398464203
12175,0.664708514213562,212.32820582389832
12200,0.7383684349060059,212.71897840499878
12225,0.6990985083580017,213.12363958358765
12250,0.7377832603454589,213.50560665130615
12275,0.6631483173370362,213.90179014205933
12300,0.7353191995620727,214.29105138778687
12325,0.7350084924697876,214.7355079650879
12350,0.7002462840080261,215.13791584968567
12375,0.6605385184288025,215.5606062412262
12400,0.6625902509689331,215.9731948375702
12425,0.7725584053993225,216.4012861251831
12450,0.8081982278823853,216.79367065429688
12475,0.6976513457298279,217.2057168483734
12500,0.6607200741767884,217.59770464897156
12525,0.7343612837791443,218.01953101158142
12550,0.7055708837509155,218.41202068328857
12575,0.6250448322296143,218.8192105293274
12600,0.664536018371582,219.21893692016602
12625,0.6289465165138245,219.66410493850708
12650,0.7336490941047669,220.05582547187805
12675,0.7752359485626221,220.46201300621033
12700,0.7707063436508179,220.9241008758545
12725,0.6632234477996826,221.36075901985168
12750,0.8840926790237427,221.76353526115417
12775,0.6975482082366944,222.1691553592682
12800,0.6613275432586669,222.57536697387695
12825,0.697332546710968,223.01345777511597
12850,0.7353008031845093,223.42196559906006
12875,0.771216561794281,223.82138395309448
12900,0.6244953298568725,224.21394276618958
12925,0.7363555669784546,224.64160299301147
12950,0.734002811908722,225.04358649253845
12975,0.7350636696815491,225.45906567573547
13000,0.6975753235816956,225.86464166641235
13025,0.73865070104599,226.29228687286377
13050,0.7360955810546875,226.68077754974365
13075,0.7008718204498291,227.09202694892883
13100,0.7713458728790283,227.4901626110077
13125,0.5517003226280213,227.91028094291687
13150,0.7711995029449463,228.3153977394104
13175,0.7709582924842835,228.72642421722412
13200,0.6255456304550171,229.12942624092102
13225,0.7374359107017517,229.56312584877014
13250,0.6606022047996521,229.98743319511414
13275,0.8073011612892151,230.38694953918457
13300,0.6607857584953308,230.7718300819397
13325,0.6607553076744079,231.20650625228882
13350,0.6250622606277466,231.59376430511475
13375,0.7336509060859681,231.9901361465454
13400,0.6242385721206665,232.38263630867004
13425,0.6241621923446655,232.81367421150208
13450,0.6246148943901062,233.20065712928772
13475,0.6244040727615356,233.61142468452454
13500,0.7728910326957703,234.021559715271
13525,0.6990253734588623,234.4443097114563
13550,0.7697709703445434,234.85242581367493
13575,0.6606122088432312,235.27751350402832
13600,0.6615494585037232,235.66803526878357
13625,0.7343166446685792,236.09098386764526
13650,0.6984686589241028,236.47795748710632
13675,0.7340278196334838,236.87709832191467
13700,0.7350958800315857,237.26135230064392
13725,0.6623428869247436,237.6711642742157
13750,0.662599458694458,238.06375980377197
13775,0.6614184617996216,238.4576723575592
13800,0.6607736110687256,238.85345220565796
13825,0.8791769099235535,239.28616094589233
13850,0.7696554207801819,239.6889524459839
13875,0.7341933584213257,240.10142874717712
13900,0.5896106338500977,240.52861499786377
13925,0.6252557611465455,240.9669771194458
13950,0.6985410976409913,241.36720395088196
13975,0.6980972504615783,241.77886748313904
14000,0.7332620334625244,242.18257761001587
14025,0.5892102670669556,242.61625409126282
14050,0.6985878920555115,243.01934242248535
14075,0.7336683583259582,243.4506196975708
14100,0.6993640899658203,243.85927748680115
14125,0.6994925498962402,244.28703618049622
14150,0.7711416006088256,244.67474150657654
14175,0.6279297924041748,245.07538414001465
14200,0.7009113764762879,245.46971344947815
14225,0.8471059679985047,245.8840775489807
14250,0.6614513993263245,246.27204632759094
14275,0.6615501976013184,246.6720633506775
14300,0.771669557094574,247.06793308258057
14325,0.6986721324920654,247.48645114898682
14350,0.6611146235466003,247.88309168815613
14375,0.66245365858078,248.2875702381134
14400,0.6246187543869018,248.68180298805237
14425,0.7345749306678772,249.19688272476196
14450,0.6980470299720765,249.61836171150208
14475,0.8113833022117615,250.04707384109497
14500,0.6614493298530578,250.47156715393066
14525,0.6262765121459961,250.90786480903625
14550,0.6607523941993714,251.3006558418274
14575,0.7369862985610962,251.71979355812073
14600,0.7692617511749268,252.11966109275818
14625,0.7345372986793518,252.55617809295654
14650,0.6605226492881775,252.9750576019287
14675,0.6605708503723144,253.3928940296173
14700,0.6624334168434143,253.8097689151764
14725,0.660441300868988,254.2588014602661
14750,0.6997804403305053,254.68395018577576
14775,0.7706367754936219,255.09592723846436
14800,0.6972042775154114,255.4960641860962
14825,0.5880914974212647,255.93144869804382
14850,0.7346344780921936,256.3270103931427
14875,0.6981997394561767,256.74144887924194
14900,0.7705102372169494,257.1579689979553
14925,0.6975873756408691,257.5925483703613
14950,0.6635791230201721,257.98256754875183
14975,0.7702457547187805,258.3913850784302
15000,0.7703694796562195,258.8961777687073
15025,0.8071070504188538,259.34085512161255
15050,0.6975150561332703,259.73811292648315
15075,0.6245562648773193,260.1551990509033
15100,0.806610598564148,260.5592792034149
15125,0.5519745469093322,261.00572061538696
15150,0.8440986561775208,261.4014616012573
15175,0.6971724605560303,261.81186175346375
15200,0.6607162570953369,262.2068381309509
15225,0.6615891480445861,262.64135217666626
15250,0.6983002424240112,263.042888879776
15275,0.7698195314407349,263.45534014701843
15300,0.6615481352806092,263.8602674007416
15325,0.7705808305740356,264.27256870269775
15350,0.6607088470458984,264.6707444190979
15375,0.7696172690391541,265.0827212333679
15400,0.5879126358032226,265.4909553527832
15425,0.698116934299469,265.9291877746582
15450,0.8426856541633606,266.34001111984253
15475,0.6246159291267395,266.74024510383606
15500,0.7709789299964904,267.15566301345825
15525,0.6609458327293396,267.58906507492065
15550,0.8432269382476807,267.99704027175903
15575,0.6610412240028382,268.4162383079529
15600,0.7694041109085084,268.8334159851074
15625,0.6603312182426453,269.2607214450836
15650,0.7702411985397339,269.6578550338745
15675,0.806012020111084,270.09167885780334
15700,0.6605983734130859,270.5009095668793
15725,0.6244245910644531,270.93801045417786
15750,0.6971169900894165,271.3352279663086
15775,0.6973388695716858,271.7565686702728
15800,0.7724768352508545,272.1701738834381
15825,0.7356151509284973,272.60261511802673
15850,0.7359973239898682,272.99867606163025
15875,0.7364982628822326,273.40204095840454
15900,0.7352371788024903,273.8025653362274
15925,0.6991081404685974,274.24050998687744
15950,0.7354528880119324,274.6564631462097
15975,0.6255040049552918,275.08064222335815
16000,0.6610287427902222,275.4780614376068
16025,0.7344682240486144,275.9105861186981
16050,0.7720479106903076,276.3200635910034
16075,0.6242180848121643,276.75030064582825
16100,0.6967947959899903,277.148503780365
16125,0.624964509010315,277.5876922607422
16150,0.7330710172653199,277.98158621788025
16175,0.6609054970741272,278.38807344436646
16200,0.661392138004303,278.7935390472412
16225,0.6253464460372925,279.23247718811035
16250,0.733201515674591,279.6384816169739
16275,0.6607225155830383,280.0480201244354
16300,0.6603431510925293,280.45929741859436
16325,0.7718255114555359,280.91394114494324
16350,0.8090683746337891,281.3264362812042
16375,0.6250234365463256,281.77894020080566
16400,0.660737874507904,282.20608949661255
16425,0.8064164280891418,282.64119935035706
16450,0.6612915134429932,283.0628020763397
16475,0.6241146850585938,283.5040056705475
16500,0.807762689590454,283.9071216583252
16525,0.6608232808113098,284.3343274593353
16550,0.6975307583808898,284.74478363990784
16575,0.733376395702362,285.17115926742554
16600,0.7709887981414795,285.5719883441925
16625,0.6970898914337158,286.0081105232239
16650,0.6609219026565551,286.4142954349518
16675,0.6617674136161804,286.82487893104553
16700,0.7335342907905579,287.23122549057007
16725,0.7350665497779846,287.6805739402771
16750,0.7345107579231263,288.11571192741394
16775,0.661904685497284,288.531964302063
16800,0.7345309472084045,288.95320200920105
16825,0.7342084288597107,289.44384765625
16850,0.6246760535240173,289.85089898109436
16875,0.7708863878250122,290.2648916244507
16900,0.6613928031921387,290.65997338294983
16925,0.624754683971405,291.1050183773041
16950,0.7702109622955322,291.5045189857483
16975,0.7332631039619446,291.92220067977905
17000,0.69749356508255,292.3370358943939
17025,0.6607571601867676,292.75742864608765
17050,0.7336612153053284,293.1543264389038
17075,0.6242651653289795,293.55325388908386
17100,0.7338916301727295,293.95391845703125
17125,0.6242155194282532,294.3823437690735
17150,0.80759268283844,294.7640428543091
17175,0.6622882986068725,295.16521859169006
17200,0.8071973729133606,295.5655007362366
17225,0.6993001437187195,295.99153423309326
17250,0.6611264777183533,296.39098072052
17275,0.770158302783966,296.79481291770935
17300,0.6611222171783447,297.1936523914337
17325,0.661044089794159,297.61694073677063
17350,0.6613132214546203,298.0079348087311
17375,0.6608413767814636,298.41776752471924
